,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type
0,1,117,9000,5280,1.090458488,0.15,4,4842,0,1
1,2,87,9000,5280,1.090458488,0.15,4,4842,0,1
2,3,74,9000,5280,1.090458488,0.15,4,4842,0,1
3,4,233,9000,5280,1.090458488,0.15,4,4842,0,1
4,5,165,9000,5280,1.090458488,0.15,4,4842,0,1
5,6,213,9000,5280,1.090458488,0.15,4,4842,0,1
6,7,253,9000,5280,1.090458488,0.15,4,4842,0,1
7,8,411,5400,2640,1.0,0.15,4,2640,0,1
8,9,379,5400,2640,1.0,0.15,4,2640,0,1
9,9,395,5400,2640,1.0,0.15,4,2640,0,1
10,10,338,5400,2640,1.0,0.15,4,2640,0,1
11,10,362,5400,2640,1.0,0.15,4,2640,0,1
12,11,309,5400,2640,1.0,0.15,4,2640,0,1
13,12,275,5400,2640,1.0,0.15,4,2640,0,1
14,13,262,5400,2640,1.0,0.15,4,2640,0,1
15,14,257,5400,2640,1.0,0.15,4,2640,0,1
16,15,254,5400,2640,1.0,0.15,4,2640,0,1
17,16,263,5400,2640,1.0,0.15,4,2640,0,1
18,17,276,5400,2640,1.0,0.15,4,2640,0,1
19,18,322,5400,2640,1.0,0.15,4,2640,0,1
20,18,348,5400,2640,1.0,0.15,4,2640,0,1
21,19,364,5400,2640,1.0,0.15,4,2640,0,1
22,19,380,5400,2640,1.0,0.15,4,2640,0,1
23,20,397,5400,2640,1.0,0.15,4,2640,0,1
24,21,412,5400,2640,1.0,0.15,4,2640,0,1
25,21,413,5400,2640,1.0,0.15,4,2640,0,1
26,22,414,5400,2640,1.0,0.15,4,2640,0,1
27,22,415,5400,2640,1.0,0.15,4,2640,0,1
28,23,416,5400,2640,1.0,0.15,4,2640,0,1
29,24,266,12600,1320,0.149068323,0.15,4,8855,0,1
30,24,267,12600,1320,0.149068323,0.15,4,8855,0,1
31,25,268,12600,1320,0.149068323,0.15,4,8855,0,1
32,25,269,12600,1320,0.149068323,0.15,4,8855,0,1
