,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type
0,1,31,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
1,1,32,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
2,1,159,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
3,1,161,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
4,2,31,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
5,2,32,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
6,2,37,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
7,2,216,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
8,3,42,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
9,3,44,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
10,3,61,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
11,3,62,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
12,4,70,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
13,4,71,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
14,4,75,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
15,4,82,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
16,5,73,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
17,5,77,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
18,5,78,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
19,5,96,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
20,6,193,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
21,6,194,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
22,6,195,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
23,6,198,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
24,7,179,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
25,7,200,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
26,7,201,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
27,7,202,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
28,8,99,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
29,8,113,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
30,8,114,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
31,8,116,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
32,9,29,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
33,9,39,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
34,9,47,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
35,9,140,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
36,10,74,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
37,10,76,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
38,10,79,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
39,10,80,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
40,11,134,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
41,11,142,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
42,11,144,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
43,11,145,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
44,12,92,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
45,12,94,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
46,12,126,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
47,12,127,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
48,13,68,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
49,13,72,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
50,13,128,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
51,13,220,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
52,14,164,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
53,14,165,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
54,14,173,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
55,14,189,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
56,15,151,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
57,15,157,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
58,15,183,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
59,15,184,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
60,16,99,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
61,16,100,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
62,16,103,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
63,16,104,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
64,17,88,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
65,17,89,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
66,17,159,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
67,17,160,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
68,18,29,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
69,18,30,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
70,18,39,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
71,18,47,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
72,19,26,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
73,19,136,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
74,19,138,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
75,19,139,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
76,20,52,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
77,20,53,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
78,20,60,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
79,20,190,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
80,21,65,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
81,21,190,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
82,21,201,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
83,21,208,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
84,22,179,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
85,22,190,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
86,22,200,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
87,22,206,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
88,23,25,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
89,23,54,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
90,23,57,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
91,23,223,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
92,24,27,900.0,25.0,1.0,1.0,4.0,0.0,0.0,1
93,24,28,2800.0,414.0,12.666667,1.0,4.0,0.0,0.0,1
94,25,23,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
95,25,26,2800.0,317.0,14.0,1.0,4.0,0.0,0.0,1
96,26,19,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
97,26,27,2800.0,181.0,8.666667,1.0,4.0,0.0,0.0,1
98,27,24,900.0,25.0,0.666667,1.0,4.0,0.0,0.0,1
99,27,42,2800.0,408.0,22.0,1.0,4.0,0.0,0.0,1
100,27,141,900.0,212.0,8.333333,1.0,4.0,0.0,0.0,1
101,28,57,2800.0,308.0,11.333333,1.0,4.0,0.0,0.0,1
102,29,9,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
103,29,18,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
104,29,30,2800.0,182.0,11.666667,1.0,4.0,0.0,0.0,1
105,29,39,2800.0,43.0,1.0,1.0,4.0,0.0,0.0,1
106,30,18,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
107,30,36,2800.0,225.0,10.0,1.0,4.0,0.0,0.0,1
108,31,1,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
109,31,2,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
110,31,40,2800.0,239.0,11.0,1.0,4.0,0.0,0.0,1
111,31,216,600.0,210.0,11.0,1.0,4.0,0.0,0.0,1
112,32,1,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
113,32,2,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
114,32,31,600.0,35.0,1.666667,1.0,4.0,0.0,0.0,1
115,32,38,2800.0,241.0,8.333333,1.0,4.0,0.0,0.0,1
116,33,32,2800.0,199.0,12.666667,1.0,4.0,0.0,0.0,1
117,34,35,2400.0,34.0,0.666667,1.0,4.0,0.0,0.0,1
118,35,41,2800.0,17.0,0.666667,1.0,4.0,0.0,0.0,1
119,35,180,2400.0,138.0,7.333333,1.0,4.0,0.0,0.0,1
120,36,37,2800.0,123.0,3.666667,1.0,4.0,0.0,0.0,1
121,36,38,600.0,35.0,1.0,1.0,4.0,0.0,0.0,1
122,37,2,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
123,37,31,2800.0,118.0,15.333333,1.0,4.0,0.0,0.0,1
124,38,36,600.0,35.0,1.0,1.0,4.0,0.0,0.0,1
125,38,39,2800.0,423.0,11.333333,1.0,4.0,0.0,0.0,1
126,38,162,600.0,85.0,3.0,1.0,4.0,0.0,0.0,1
127,39,9,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
128,39,18,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
129,39,49,2800.0,75.0,3.333333,1.0,4.0,0.0,0.0,1
130,40,34,2800.0,18.0,0.333333,1.0,4.0,0.0,0.0,1
131,40,84,2400.0,215.0,4.666667,1.0,4.0,0.0,0.0,1
132,41,33,2800.0,37.0,1.333333,1.0,4.0,0.0,0.0,1
133,41,40,2400.0,34.0,0.666667,1.0,4.0,0.0,0.0,1
134,42,3,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
135,42,43,2800.0,39.0,2.666667,1.0,4.0,0.0,0.0,1
136,42,50,2800.0,35.0,1.666667,1.0,4.0,0.0,0.0,1
137,43,47,2800.0,223.0,7.0,1.0,4.0,0.0,0.0,1
138,44,3,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
139,44,24,2800.0,401.0,14.333333,1.0,4.0,0.0,0.0,1
140,44,42,2800.0,24.0,1.666667,1.0,4.0,0.0,0.0,1
141,45,46,900.0,33.0,1.333333,1.0,4.0,0.0,0.0,1
142,45,60,2800.0,435.0,18.0,1.0,4.0,0.0,0.0,1
143,45,187,900.0,176.0,4.666667,1.0,4.0,0.0,0.0,1
144,46,45,900.0,33.0,1.0,1.0,4.0,0.0,0.0,1
145,46,62,2800.0,196.0,9.0,1.0,4.0,0.0,0.0,1
146,46,95,900.0,296.0,10.666667,1.0,4.0,0.0,0.0,1
147,47,9,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
148,47,18,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
149,47,48,2800.0,34.0,0.666667,1.0,4.0,0.0,0.0,1
150,48,29,2800.0,90.0,5.0,1.0,4.0,0.0,0.0,1
151,49,47,2800.0,37.0,0.666667,1.0,4.0,0.0,0.0,1
152,49,50,2800.0,254.0,21.666667,1.0,4.0,0.0,0.0,1
153,50,51,2800.0,25.0,1.0,1.0,4.0,0.0,0.0,1
154,50,63,2800.0,302.0,8.0,1.0,4.0,0.0,0.0,1
155,51,44,2800.0,33.0,1.0,1.0,4.0,0.0,0.0,1
156,51,45,2800.0,369.0,18.0,1.0,4.0,0.0,0.0,1
157,52,20,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
158,53,20,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
159,53,46,2800.0,201.0,10.0,1.0,4.0,0.0,0.0,1
160,53,52,900.0,33.0,0.666667,1.0,4.0,0.0,0.0,1
161,53,127,900.0,567.0,20.666667,1.0,4.0,0.0,0.0,1
162,54,23,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
163,54,25,2800.0,403.0,19.666667,1.0,4.0,0.0,0.0,1
164,54,55,900.0,26.0,1.333333,1.0,4.0,0.0,0.0,1
165,55,54,900.0,26.0,1.666667,1.0,4.0,0.0,0.0,1
166,55,145,900.0,178.0,13.0,1.0,4.0,0.0,0.0,1
167,55,222,2800.0,145.0,5.0,1.0,4.0,0.0,0.0,1
168,56,54,2800.0,70.0,4.0,1.0,4.0,0.0,0.0,1
169,57,23,999999.0,0.0,0.0,0.0,4.0,0.0,0.0,0
170,57,55,2800.0,184.0,9.666667,1.0,4.0,0.0,0.0,1
171,57,144,600.0,178.0,7.333333,1.0,4.0,0.0,0.0,1
