,init_node,term_node,capacity,length,free_flow_time,b,power,speed,critical_speed,lanes
0,1,6706,2880,0.904,2.26,0.25,4,24,19.2,2
1,2,33087,2880,0.027,0.07,0.25,4,24,19.2,2
2,3,30799,2880,0.257,0.64,0.25,4,24,19.2,2
3,4,30800,2880,0.123,0.31,0.25,4,24,19.2,2
4,5,6692,2880,0.068,0.17,0.25,4,24,19.2,2
5,6,30791,2880,0.103,0.26,0.25,4,24,19.2,2
6,7,30801,2880,0.068,0.17,0.25,4,24,19.2,2
7,8,30789,2880,0.033,0.08,0.25,4,24,19.2,2
8,9,30802,2880,0.029,0.07,0.25,4,24,19.2,2
9,10,28781,2880,0.066,0.17,0.25,4,24,19.2,2
10,11,27554,2880,0.044,0.11,0.25,4,24,19.2,2
11,12,30741,2880,0.023,0.06,0.25,4,24,19.2,2
12,13,27553,2880,0.107,0.27,0.25,4,24,19.2,2
13,14,6706,2880,0.069,0.17,0.25,4,24,19.2,2
14,15,27548,2880,0.068,0.17,0.25,4,24,19.2,2
15,16,27550,2880,0.047,0.12,0.25,4,24,19.2,2
16,17,27557,2880,0.138,0.35,0.25,4,24,19.2,2
17,18,30803,2880,0.034,0.09,0.25,4,24,19.2,2
18,19,27555,2880,0.051,0.13,0.25,4,24,19.2,2
19,20,31095,2880,0.034,0.09,0.25,4,24,19.2,2
20,21,30788,2880,0.03,0.08,0.25,4,24,19.2,2
21,22,30792,2880,0.041,0.1,0.25,4,24,19.2,2
22,23,30965,2880,0.059,0.15,0.25,4,24,19.2,2
23,24,27546,2880,0.218,0.55,0.25,4,24,19.2,2
24,25,6710,2880,0.043,0.11,0.25,4,24,19.2,2
25,26,30966,2880,0.039,0.1,0.25,4,24,19.2,2
26,27,30024,2880,0.03,0.08,0.25,4,24,19.2,2
27,28,27557,2880,0.111,0.28,0.25,4,24,19.2,2
28,29,29632,2880,0.014,0.04,0.25,4,24,19.2,2
29,29,30257,2880,0.015,0.04,0.25,4,24,19.2,2
30,30,30250,2880,0.016,0.04,0.25,4,24,19.2,2
31,31,30252,2880,0.015,0.04,0.25,4,24,19.2,2
32,32,30258,2880,0.02,0.05,0.25,4,24,19.2,2
33,33,30253,2880,0.029,0.07,0.25,4,24,19.2,2
34,34,30260,2880,0.018,0.05,0.25,4,24,19.2,2
35,35,30255,2880,0.02,0.05,0.25,4,24,19.2,2
36,36,29633,2880,0.024,0.06,0.25,4,24,19.2,2
37,36,29634,2880,0.056,0.14,0.25,4,24,19.2,2
38,37,30262,2880,0.022,0.06,0.25,4,24,19.2,2
39,38,28275,2880,0.068,0.17,0.25,4,24,19.2,2
40,39,29337,2880,0.034,0.09,0.25,4,24,19.2,2
41,39,29480,2880,0.033,0.08,0.25,4,24,19.2,2
42,40,29992,2880,0.024,0.06,0.25,4,24,19.2,2
43,41,29993,2880,0.037,0.09,0.25,4,24,19.2,2
44,41,30345,2880,0.033,0.08,0.25,4,24,19.2,2
45,42,29984,2880,0.034,0.09,0.25,4,24,19.2,2
46,43,29984,2880,0.063,0.16,0.25,4,24,19.2,2
47,43,29994,2880,0.029,0.07,0.25,4,24,19.2,2
48,44,29984,2880,0.039,0.1,0.25,4,24,19.2,2
49,44,29994,2880,0.029,0.07,0.25,4,24,19.2,2
50,45,29965,2880,0.026,0.07,0.25,4,24,19.2,2
51,45,29966,2880,0.014,0.04,0.25,4,24,19.2,2
52,46,29964,2880,0.035,0.09,0.25,4,24,19.2,2
53,46,30025,2880,0.042,0.11,0.25,4,24,19.2,2
54,47,29985,2880,0.029,0.07,0.25,4,24,19.2,2
55,48,29996,2880,0.042,0.11,0.25,4,24,19.2,2
56,48,30027,2880,0.017,0.04,0.25,4,24,19.2,2
57,49,30026,2880,0.023,0.06,0.25,4,24,19.2,2
58,50,29999,2880,0.028,0.07,0.25,4,24,19.2,2
59,51,29997,2880,0.013,0.03,0.25,4,24,19.2,2
60,51,29998,2880,0.051,0.13,0.25,4,24,19.2,2
61,52,28513,2880,0.027,0.07,0.25,4,24,19.2,2
62,53,6770,2880,0.03,0.08,0.25,4,24,19.2,2
63,54,30028,2880,0.059,0.15,0.25,4,24,19.2,2
64,54,30029,2880,0.032,0.08,0.25,4,24,19.2,2
65,55,29969,2880,0.02,0.05,0.25,4,24,19.2,2
66,56,6821,2880,0.031,0.08,0.25,4,24,19.2,2
67,57,29957,2880,0.041,0.1,0.25,4,24,19.2,2
68,57,30285,2880,0.017,0.04,0.25,4,24,19.2,2
69,58,30159,2880,0.034,0.09,0.25,4,24,19.2,2
70,59,29958,2880,0.027,0.07,0.25,4,24,19.2,2
71,59,29960,2880,0.018,0.05,0.25,4,24,19.2,2
72,60,29959,2880,0.019,0.05,0.25,4,24,19.2,2
73,60,30031,2880,0.037,0.09,0.25,4,24,19.2,2
74,61,27560,2880,0.03,0.08,0.25,4,24,19.2,2
75,62,29961,2880,0.044,0.11,0.25,4,24,19.2,2
76,63,29962,2880,0.072,0.18,0.25,4,24,19.2,2
77,63,30030,2880,0.021,0.05,0.25,4,24,19.2,2
78,64,30186,2880,0.025,0.06,0.25,4,24,19.2,2
79,65,29963,2880,0.068,0.17,0.25,4,24,19.2,2
80,65,30264,2880,0.018,0.05,0.25,4,24,19.2,2
81,66,29950,2880,0.048,0.12,0.25,4,24,19.2,2
